channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCq6VFHwMzcMXbuKyG7SQYIg,penguinz0,podcast,2110996,1241,606183408,1,1,0,1,1,0,1,0,171116,31,66.3k,0,Cr1TiKaL Gears of War Call Duty Battlefield Bad Company Fun Tactics
UCVwKDO6BlzL0lBZDSpPv9lw,Chuckie Online,podcast,14579,53,1317069,0,0,0,0,0,0,1,,,,,,
UCZZHPXsg6LopvdOKF7qM6cQ,H3 Podcast Highlights,podcast,408742,160,63779407,0,0,0,0,0,0,0,,,,,,
UCctXZhXmG-kf3tlIXgVZUlw,GaryVee,podcast,1187887,1732,96101016,0,1,1,1,0,0,0,55178,1692036,"3,219",3m,"2,473","entrepreneur vlog vlogger business ""gary vaynerchuk"" garyvee dailyvee askgaryvee ceo marketing ""business advice"" ""social media"" investor success ""social media marketing"" ""social media strategy"" ""self help"" advice"
UCDWIvJwLJsE4LG1Atne2blQ,h3h3Productions,podcast,5490823,286,980577110,0,1,1,1,0,1,0,13666,1796672,607,1.5m,113,h3h3 h3h3productions comedy entertainment
UC1TpCkfbzIta8MwtJbxzzUA,Dj Dark,podcast,53798,143,15269792,1,1,1,1,0,0,1,19,1380,429,13.2k,807,"""Dj Dark"" Romania Muzica ""Deep House"" Podcast"
UC6YuttrRJ_LZNddA_DJ_VSQ,Pilipinas Got Talent,comedy,846909,858,507048795,0,1,1,1,0,0,1,224,17777,369,22k,33,"""got talent"" ""philipines got talent"" ""pilipinas got talent"""
UCvlVuntLjdURVD3b3Hx7kxw,Dry Bar Comedy,comedy,61208,664,11151123,0,0,1,0,0,0,0,,,,,,"""Clean Comedy"" ""Clean Programming"" VidAngel ""Dry Bar"" ""Dry Bar Comedy"" Stand Up Comedy"
UCu1jQRLRj9rA3jGA11N_xbA,InfamousAllegiance,comedy,18025,96,24909899,0,0,0,0,0,0,1,,,,,,infamousallegiance 2pac tupac comedy dave chappelle bruce jamie foxx sarah silverman rap hip hop humor comic stand up comedian
UCDnEa2HC2eeT-cN3pAKnNTw,MusicTalentNow,comedy,0,1215,2231905212,0,0,0,0,0,0,1,,,,,,"music talent singing ""singing solo"" voice ""top voice"" ""x factor"" ""the x factor"" ""got talent"""
UCD_4wBmMO46YRg5v1La9t4Q,MotleyTV,comedy,0,3,644182,0,0,0,0,0,0,0,,,,,,
UCdOeOzEeJa-v57sYlKehuHg,Comedy Raj,comedy,4229,23,577348,0,0,0,0,0,0,0,,,,,,"""Rajasthani Comedy"" ""New Rajasthani comedy"" ""Marwadi Comedy"" ""Hariyanvi Comedy"" ""Comedy Raj"" ""Murari Lal Comedy"" ""New Comedy"""
UCUPD0jQo-EP0B1Nf4uzeIMA,Mazhavil Manorama,comedy,1571735,24755,1626955844,0,0,1,1,0,0,1,89,4320,,,,Mazhavil Manorama Malayalam Kerala TV episode channel
UC1mgLR4aJ9SL3akCNWkOjqw,Bhagath Goud,comedy,830,6,15472,0,0,1,0,0,0,0,,,,,,"""bhagath goud"" ""Telugu vines"" ""comedy vines"" telugu ""telugu comedy"" ""telugu funny videos"" latest 2018"
UCmAPdImtXLGh5E-lTTH4Qmg,Flowers Comedy,comedy,939891,1381,770098635,0,0,1,1,1,0,1,87,2047,,,,"""flowers tv"" ""flower tv comedy night"" ""flower tv comedy"" ""flower tv malayalam"" ""comedy nite flowers"" ""comedy nite"" ""comedy nite flowers channel"" ""suraj venjaramoodu latest comedy"" ""suraj venjaramoodu comedy"" ""malayalam comedy"" ""malayalam comedy movies"" ""flowers smart show"" ""flowers star challenge"" ""flowers tv serial"" ""flowers tv indian music league"" ""flowers tv comedy super nite latest"""
UCUsN5ZwHx2kILm84-jPDeXw,Comedy Central,comedy,6076065,4089,3097886386,0,1,1,1,1,0,1,40351,1574440,"4,321",796.6k,151,Comedy Central videos funny clips comics stand-up shows Roast Charlie Sheen SheenRoast Workaholics Ugly Americans Futurama Jon Benjamin Van Download
UCt9-QMH-92EafTUWkVu8PMA,Jagdish Chaturvedi,comedy,99920,40,4987662,0,0,0,1,1,0,0,,,,,,"""Stand up"" ""stand up comedy"" ""comedy show"" india ""comedy show hindi"" ""stand up india 2017"" ""Jagdish Chaturvedi"" reaction"
UC4MgQnhmgNDJnq-KK8hlEOg,87PFC,comedy,828,3,799058,0,0,0,0,0,0,0,,,,,,
UCiodaA8ksQTXSDwBYbP3NRQ,Nigerian Comedy,comedy,33584,1297,6644632,0,0,0,0,0,0,0,,,,,,
UCS-ML4Hw4FBXKGL_PzIFlFA,BANGLA COMEDY,comedy,0,369,97925102,0,0,1,0,0,0,0,,,,,,"""Bangla Cinema Comedy"" ""Bengali comedy"""
UC5B3wjlBMGbU6rA3Aq5xZsQ,Walter Latham Comedy,comedy,206135,780,126766987,0,0,1,1,0,0,1,489,1599,,,,"""Original Kings of Comedy"" ""Queens of Comedy"" ""Bernie Mac"" ""George Lopez"" ""Chris Rock"" ""Chris Tucker"" ""Richard Pryor"" ""Redd Foxx"" ""George Carlin"" ""Kevin Hart"" ""Steve Harvey"" ""Tyler Perry"" Madea ""Eddie Murphy"" ""Martin Lawrence"" SNL ""Comedy Central"" ""Comic View"" ""Martin Lawrence 1st Ammendment"" ""Shaqs All Star Comedy Jam"" ""Jenna Jameson"" ""Rosa Acosta"" =3 ""equals 3"" Comedy Comedian Funny"
