
Pattern                                                                         Occurances: Tid_List
InstaFollowing:0x10
 VideoCount:4x100                                                                                                                 :3
InstaFollowing:0x10
 ViewCount:5x100000000                                                                                                            :3
InstaFollowing:1x10                                                                                                                                   :8
InstaFollowing:1x100                                                                                                                                  :31
InstaFollowing:1x100
 InstaPosts:2x100                                                                                                                :3
InstaFollowing:1x100
 InstaPosts:5x100                                                                                                                :4
InstaFollowing:1x100
 InstaPosts:5x100 TwitterFavorites:3x1000                                                                                        :3
InstaFollowing:1x100
 InstaPosts:6x100                                                                                                                :3
InstaFollowing:1x100
 InstaPosts:6x100 TwitterFavorites:1x10000                                                                                       :3
InstaFollowing:1x100
 InstaPosts:6x100 TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                                            :3
InstaFollowing:1x100
 InstaPosts:6x100 TwitterFollowers:1x1000000                                                                                     :3
InstaFollowing:1x100
 InstaPosts:8x100                                                                                                                :4
InstaFollowing:1x100
 Subscribers:1x1000000                                                                                                           :6
InstaFollowing:1x100
 Subscribers:1x1000000 ViewCount:8x10000000                                                                                      :5
InstaFollowing:1x100
 Subscribers:2x100000                                                                                                            :5
InstaFollowing:1x100
 Subscribers:2x100000 VideoCount:2x100                                                                                           :3
InstaFollowing:1x100
 Subscribers:2x100000 ViewCount:1x10000000                                                                                       :3
InstaFollowing:1x100
 Subscribers:3x100000                                                                                                            :4
InstaFollowing:1x100
 TwitterFavorites:1x10000                                                                                                        :5
InstaFollowing:1x100
 TwitterFavorites:1x10000 TwitterFollowers:1x1000000                                                                             :3
InstaFollowing:1x100
 TwitterFavorites:3x1000                                                                                                         :3
InstaFollowing:1x100
 TwitterFollowers:1x1000000                                                                                                      :5
InstaFollowing:1x100
 VideoCount:1x100                                                                                                                :6
InstaFollowing:1x100
 VideoCount:2x100                                                                                                                :8
InstaFollowing:1x100
 VideoCount:2x100 ViewCount:2x10000000                                                                                           :3
InstaFollowing:1x100
 VideoCount:5x100                                                                                                                :3
InstaFollowing:1x100
 VideoCount:6x10                                                                                                                 :3
InstaFollowing:1x100
 ViewCount:1x10000000                                                                                                            :4
InstaFollowing:1x100
 ViewCount:2x10000000                                                                                                            :3
InstaFollowing:1x100
 ViewCount:2x100000000                                                                                                           :3
InstaFollowing:1x100
 ViewCount:3x1000000000                                                                                                          :4
InstaFollowing:1x100
 ViewCount:8x10000000                                                                                                            :5
InstaFollowing:2x100                                                                                                                                  :19
InstaFollowing:2x100
 InstaPosts:5x100                                                                                                                :4
InstaFollowing:2x100
 InstaPosts:5x100 VideoCount:1x100                                                                                               :4
InstaFollowing:2x100
 InstaPosts:8x100                                                                                                                :3
InstaFollowing:2x100
 Subscribers:1x1000000                                                                                                           :3
InstaFollowing:2x100
 Subscribers:2x100000                                                                                                            :4
InstaFollowing:2x100
 TwitterFavorites:3x1000                                                                                                         :3
InstaFollowing:2x100
 VideoCount:1x100                                                                                                                :7
InstaFollowing:2x100
 VideoCount:2x100                                                                                                                :3
InstaFollowing:2x100
 VideoCount:3x100                                                                                                                :5
InstaFollowing:2x100
 VideoCount:3x100 ViewCount:2x10000000                                                                                           :3
InstaFollowing:2x100
 ViewCount:2x10000000                                                                                                            :4
InstaFollowing:2x100
 ViewCount:5x10000000                                                                                                            :3
InstaFollowing:3x10                                                                                                                                   :4
InstaFollowing:3x100                                                                                                                                  :17
InstaFollowing:3x100
 InstaPosts:1x100                                                                                                                :3
InstaFollowing:3x100
 InstaPosts:2,210                                                                                                                :4
InstaFollowing:3x100
 InstaPosts:2,210 TwitterFavorites:2x10000                                                                                       :4
InstaFollowing:3x100
 InstaPosts:2,210 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                             :4
InstaFollowing:3x100
 InstaPosts:2,210 TwitterFollowers:3x100000                                                                                      :4
InstaFollowing:3x100
 Subscribers:1x1000000                                                                                                           :3
InstaFollowing:3x100
 Subscribers:4x1000000                                                                                                           :5
InstaFollowing:3x100
 Subscribers:4x1000000 ViewCount:3x100000000                                                                                     :4
InstaFollowing:3x100
 TwitterFavorites:2x10000                                                                                                        :4
InstaFollowing:3x100
 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                                              :4
InstaFollowing:3x100
 TwitterFollowers:3x100000                                                                                                       :4
InstaFollowing:3x100
 VideoCount:2x100                                                                                                                :3
InstaFollowing:3x100
 VideoCount:4x10                                                                                                                 :3
InstaFollowing:3x100
 VideoCount:7x100                                                                                                                :3
InstaFollowing:3x100
 ViewCount:3x100000000                                                                                                           :4
InstaFollowing:4x10                                                                                                                                   :3
InstaFollowing:4x100                                                                                                                                  :12
InstaFollowing:4x100
 Subscribers:1x100000                                                                                                            :3
InstaFollowing:4x100
 VideoCount:1x1000                                                                                                               :5
InstaFollowing:5x10                                                                                                                                   :6
InstaFollowing:5x10
 ViewCount:1x100000000                                                                                                            :4
InstaFollowing:5x100                                                                                                                                  :22
InstaFollowing:5x100
 InstaPosts:5x100                                                                                                                :4
InstaFollowing:5x100
 InstaPosts:7x100                                                                                                                :4
InstaFollowing:5x100
 Subscribers:1x100000                                                                                                            :7
InstaFollowing:5x100
 Subscribers:1x100000 TwitterFavorites:1x1000                                                                                    :4
InstaFollowing:5x100
 Subscribers:1x100000 VideoCount:1x100                                                                                           :3
InstaFollowing:5x100
 Subscribers:1x100000 VideoCount:1x100 ViewCount:1x10000000                                                                      :3
InstaFollowing:5x100
 Subscribers:1x100000 ViewCount:1x10000000                                                                                       :4
InstaFollowing:5x100
 Subscribers:1x100000 ViewCount:2x10000000                                                                                       :3
InstaFollowing:5x100
 TwitterFavorites:1x1000                                                                                                         :4
InstaFollowing:5x100
 TwitterFollowers:7x10000                                                                                                        :4
InstaFollowing:5x100
 TwitterFollowers:7x10000 VideoCount:2x100                                                                                       :4
InstaFollowing:5x100
 VideoCount:1x100                                                                                                                :7
InstaFollowing:5x100
 VideoCount:1x100 ViewCount:1x10000000                                                                                           :3
InstaFollowing:5x100
 VideoCount:2x100                                                                                                                :6
InstaFollowing:5x100
 VideoCount:6x100                                                                                                                :3
InstaFollowing:5x100
 ViewCount:1x10000000                                                                                                            :4
InstaFollowing:5x100
 ViewCount:2x10000000                                                                                                            :5
InstaFollowing:5x100
 ViewCount:3x100000000                                                                                                           :3
InstaFollowing:6x10                                                                                                                                   :4
InstaFollowing:6x100                                                                                                                                  :15
InstaFollowing:6x100
 InstaPosts:4x100                                                                                                                :3
InstaFollowing:6x100
 Subscribers:1x1000000                                                                                                           :5
InstaFollowing:6x100
 Subscribers:1x1000000 VideoCount:1x100                                                                                          :3
InstaFollowing:6x100
 TwitterFollowers:3x1000                                                                                                         :3
InstaFollowing:6x100
 VideoCount:1x100                                                                                                                :5
InstaFollowing:6x100
 VideoCount:2x100                                                                                                                :3
InstaFollowing:6x100
 VideoCount:3x100                                                                                                                :3
InstaFollowing:6x100
 ViewCount:1x10000000                                                                                                            :4
InstaFollowing:6x100
 ViewCount:7x10000000                                                                                                            :3
InstaFollowing:7x10                                                                                                                                   :7
InstaFollowing:7x100                                                                                                                                  :3
InstaFollowing:8x10                                                                                                                                   :4
InstaFollowing:8x100                                                                                                                                  :7
InstaFollowing:8x100
 TwitterFavorites:6x1000                                                                                                         :4
InstaFollowing:8x100
 VideoCount:1x100                                                                                                                :3
InstaFollowing:8x100
 VideoCount:3x100                                                                                                                :3
InstaFollowing:8x100
 ViewCount:1x10000000                                                                                                            :3
InstaFollowing:9x100                                                                                                                                  :4
InstaPosts:0x10                                                                                                                                       :3
InstaPosts:1x10                                                                                                                                       :6
InstaPosts:1x10 Subscribers:3x100000                                                                                                                  :4
InstaPosts:1x10 Subscribers:3x100000 ViewCount:5x10000000                                                                                             :4
InstaPosts:1x10 ViewCount:5x10000000                                                                                                                  :4
InstaPosts:1x100                                                                                                                                      :10
InstaPosts:1x100 Subscribers:1x1000000                                                                                                                :3
InstaPosts:2,210                                                                                                                                      :4
InstaPosts:2,210 TwitterFavorites:2x10000                                                                                                             :4
InstaPosts:2,210 TwitterFavorites:2x10000 TwitterFollowers:3x100000                                                                                   :4
InstaPosts:2,210 TwitterFollowers:3x100000                                                                                                            :4
InstaPosts:2,400                                                                                                                                      :3
InstaPosts:2,400 TwitterFollowers:2x10                                                                                                                :3
InstaPosts:2x10                                                                                                                                       :3
InstaPosts:2x100                                                                                                                                      :17
InstaPosts:2x100 Subscribers:1x100000                                                                                                                 :3
InstaPosts:2x100 Subscribers:1x100000 ViewCount:1x10000000                                                                                            :3
